j,strategy,delta,se,p_up,p_down,n1
51,book_pullback_ma20,0.3576046816866965,0.40518605149877496,0.1887345696872155,0.8112654303127844,15656
52,book_pullback_ma20,0.19331508616919735,0.1333167142837273,0.07352314104682996,0.92647685895317,15643
53,book_pullback_ma20,0.03245166595771734,0.162924731765281,0.42106020873559813,0.5789397912644019,15650
54,book_pullback_ma20,0.009989210555344616,0.13772764127052062,0.47109057223513795,0.528909427764862,15645
55,book_pullback_ma20,-0.06483569638557611,0.10843976113282604,0.7250453261364971,0.2749546738635029,15652
56,book_pullback_ma20,0.21381164069330078,0.20321043685150209,0.14636110167434277,0.8536388983256572,15634
57,book_pullback_ma20,-0.008742813240408473,0.09480268221354318,0.5367388364292606,0.4632611635707394,15649
58,book_pullback_ma20,-0.2150919850539879,0.08006223354225102,0.9963903997188719,0.0036096002811280706,15651
59,book_pullback_ma20,0.0595772801144882,0.11521705743428869,0.30254760034035005,0.69745239965965,15663
60,book_pullback_ma20,0.10435481133398637,0.11635172674028038,0.18488855346708533,0.8151114465329147,15651
61,book_pullback_ma20,-0.19669104820095534,0.10074099763679911,0.9745571795818306,0.025442820418169317,15649
62,book_pullback_ma20,0.19668310042598958,0.14056387909965443,0.08086998137715817,0.9191300186228418,15682
63,book_pullback_ma20,0.08513523901963393,0.11706905435781133,0.23354486223039259,0.7664551377696074,15630
64,book_pullback_ma20,0.12498340117210217,0.15619793035366386,0.21180892995650694,0.7881910700434931,15644
65,book_pullback_ma20,0.10559658661901535,0.14874326329734408,0.23887527023331445,0.7611247297666854,15644
66,book_pullback_ma20,-0.04179283335426033,0.11843532695424057,0.6379088197663778,0.3620911802336222,15657
67,book_pullback_ma20,0.1801414567610645,0.40032314605070374,0.326358785696628,0.673641214303372,15658
68,book_pullback_ma20,-0.16691543585484198,0.09380265118077843,0.962415515056154,0.03758448494384594,15652
69,book_pullback_ma20,0.11516483268899408,0.11732806033818959,0.1631576969842841,0.8368423030157159,15670
70,book_pullback_ma20,-0.07179036982592747,0.12394926826502843,0.7187700368569221,0.28122996314307785,15670
71,book_pullback_ma20,0.052792613751032266,0.11986713101395616,0.32981426027996774,0.6701857397200323,15659
72,book_pullback_ma20,0.014332587147247361,0.11894991845198714,0.4520464633057815,0.5479535366942185,15644
73,book_pullback_ma20,0.12346442499437432,0.1507616558085255,0.20641093919229467,0.7935890608077052,15651
74,book_pullback_ma20,-0.15093170380357873,0.08766695111273518,0.9574334240130693,0.04256657598693065,15646
75,book_pullback_ma20,0.047171682559696525,0.13136469315872804,0.35976406650376425,0.6402359334962358,15668
76,book_pullback_ma20,-0.003573549959130201,0.1307776448801024,0.5108998963513914,0.48910010364860856,15659
77,book_pullback_ma20,0.054013190817438356,0.13148571158500832,0.3406127742119844,0.6593872257880156,15662
78,book_pullback_ma20,0.2986589295046317,0.4067552080086813,0.23139900302070285,0.7686009969792971,15619
79,book_pullback_ma20,0.05139211512210522,0.1138182200225001,0.3258045187295373,0.6741954812704627,15669
80,book_pullback_ma20,0.34787643419656156,0.4015521211267111,0.19315475624430745,0.8068452437556926,15657
81,book_pullback_ma20,-0.009016000786788603,0.09595112331691952,0.5374313276316065,0.46256867236839355,15658
82,book_pullback_ma20,0.05942137481614172,0.12285296489036421,0.31430691998258564,0.6856930800174144,15651
83,book_pullback_ma20,-0.21441164761884995,0.07956843459983849,0.9964772106944909,0.0035227893055090817,15660
84,book_pullback_ma20,0.019903170167834133,0.14154199312220456,0.44408637122392247,0.5559136287760775,15642
85,book_pullback_ma20,0.13116560826556437,0.21449965830849974,0.27043574820485095,0.729564251795149,15652
86,book_pullback_ma20,-0.1756356983885371,0.08952046172172115,0.9751165159875084,0.024883484012491748,15650
87,book_pullback_ma20,-0.0473597592244832,0.10380985108396316,0.6758828225983466,0.3241171774016534,15647
88,book_pullback_ma20,-0.006768303376284007,0.1085138781511371,0.5248669818662228,0.4751330181337772,15663
89,book_pullback_ma20,-0.097111538940394,0.12020773754932594,0.790415645743304,0.20958435425669592,15657
90,book_pullback_ma20,-0.07018408214736323,0.08411560730186124,0.7979655593142372,0.20203444068576284,15654
91,book_pullback_ma20,0.08032664930417094,0.13023047085569336,0.26868207260893034,0.7313179273910697,15647
92,book_pullback_ma20,-0.2484173673644538,0.08465082381647769,0.9983301777814517,0.0016698222185483075,15657
93,book_pullback_ma20,-0.03437139449729905,0.12955465887977677,0.6046124334791038,0.39538756652089624,15653
