arm,lot_id,tier,strategy,code,entry_date,entry_basis,entry_price,qty,qty_basis,notional_won,signal_basis,crash_blocked,lift_time,d5_flags,other_holder_live,buy_id,is_repeat_while_open,open_lot_seq,days_since_open_lot,exit_status,exit_reason,exit_phase,exit_date,exit_price,ret_pct,hold_days,pnl_won,flags
B1,B1-0111,main,book_pullback_ma20,388050,2026-09-23,band_touch,10867.6,92,amount,999819,log,N,,throttle,,,Y,2,2,open,open,,2026-09-23,10280,-5.41,0,-54059,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B1,B1-0112,main,book_pullback_ma5,047770,2026-09-23,D_open,3750,266,amount,997500,log,N,,throttle,,,N,1,,open,open,,2026-09-23,3785,+0.93,0,9310,mark_to_market(마지막 종가)
B1,B1-0113,main,book_pullback_ma5,050890,2026-09-23,D_open,9460,105,amount,993300,log,N,,throttle,,,N,1,,open,open,,2026-09-23,9530,+0.74,0,7350,mark_to_market(마지막 종가)
B1,B1-0114,main,book_pullback_ma5,071090,2026-09-23,D_open,3450,289,amount,997050,log,N,,throttle,,,N,1,,closed,sl,entry_day,2026-09-23,3346.5,-3.00,0,-29912,
B1,B1-0115,main,book_pullback_ma5,217590,2026-09-23,D_open,14650,68,amount,996200,log,N,,throttle_delay,,,N,1,,closed,sl,entry_day,2026-09-23,14210.5,-3.00,0,-29886,
B1,B1-0116,main,book_pullback_ma5,255220,2026-09-23,band_touch,1091.25,916,amount,999585,log,N,,throttle,,,N,1,,open,open,,2026-09-23,1196,+9.60,0,95951,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B1,B1-0117,main,book_pullback_ma5,299660,2026-09-23,band_touch,2913.85,343,amount,999451,log,N,,throttle,,,N,1,,open,open,,2026-09-23,2620,-10.08,0,-100791,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B1,B1-0118,main,book_pullback_ma5,321370,2026-09-23,D_open,1727,579,amount,999933,log,N,,,,,N,1,,closed,tp,entry_day,2026-09-23,1986.05,+15.00,0,149990,
B1,B1-0119,main,book_pullback_ma5,357580,2026-09-23,band_touch,7039.7,142,amount,999637,log,N,,throttle,,,N,1,,open,open,,2026-09-23,7040,+0.00,0,43,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B1,B1-0120,main,book_pullback_ma5,452260,2026-09-23,D_open,2690,371,amount,997990,log,N,,throttle,,,Y,2,1,open,open,,2026-09-23,2765,+2.79,0,27825,mark_to_market(마지막 종가)
