date,strategy,code,stage,result,n,first_ts,last_ts,basis
2026-09-22,daytrading_3methods_breakout,425040,gate,throttle,2,09:02:37,09:09:49,log
2026-09-22,daytrading_3methods_breakout,393210,candidate,Y,1,,,e6
2026-09-22,daytrading_3methods_breakout,393210,signal,Y,2,09:02:37,09:09:49,log
2026-09-22,daytrading_3methods_breakout,393210,cap,daily_trades,1,09:16:19,09:16:19,log
2026-09-22,daytrading_3methods_breakout,393210,gate,throttle,2,09:02:37,09:09:49,log
2026-09-22,daytrading_3methods_breakout,402490,candidate,Y,1,,,e6
2026-09-22,daytrading_3methods_breakout,402490,signal,Y,2,09:02:37,09:09:49,log
2026-09-22,daytrading_3methods_breakout,402490,cap,daily_trades,1,09:16:19,09:16:19,log
2026-09-22,daytrading_3methods_breakout,402490,gate,throttle,2,09:02:37,09:09:49,log
2026-09-22,daytrading_3methods_breakout,097800,candidate,Y,1,,,e6
2026-09-22,daytrading_3methods_breakout,097800,signal,Y,2,09:02:37,09:09:49,log
2026-09-22,daytrading_3methods_breakout,097800,cap,daily_trades,1,09:16:19,09:16:19,log
2026-09-22,daytrading_3methods_breakout,097800,gate,throttle,2,09:02:38,09:09:49,log
2026-09-22,daytrading_3methods_breakout,254490,candidate,Y,1,,,e6
2026-09-22,daytrading_3methods_breakout,254490,signal,Y,2,09:02:38,09:09:49,log
2026-09-22,daytrading_3methods_breakout,254490,cap,daily_trades,1,09:16:19,09:16:19,log
2026-09-22,daytrading_3methods_breakout,254490,gate,throttle,2,09:02:38,09:09:49,log
2026-09-22,daytrading_3methods_breakout,205100,candidate,Y,1,,,e6
2026-09-22,daytrading_3methods_breakout,205100,signal,Y,2,09:02:38,09:09:49,log
2026-09-22,daytrading_3methods_breakout,205100,cap,daily_trades,1,09:16:19,09:16:19,log
2026-09-22,daytrading_3methods_breakout,205100,gate,throttle,2,09:02:38,09:09:49,log
2026-09-22,daytrading_3methods_breakout,226590,candidate,Y,1,,,e6
2026-09-22,daytrading_3methods_breakout,226590,signal,Y,2,09:02:38,09:09:49,log
2026-09-22,daytrading_3methods_breakout,226590,cap,daily_trades,1,09:16:19,09:16:19,log
2026-09-22,daytrading_3methods_breakout,226590,gate,throttle,2,09:02:38,09:09:49,log
2026-09-22,minervini_volume_dryup,088350,candidate,Y,1,,,e6
