date,strategy,mode,code,list_pos,slot_state,slot_state_v2,eval_v1,signal_replay,replay_reason,signal_log,signal_log_v1,signal_log_v2,n_evals,first_ts,last_ts,outcome,outcome_v1,outcome_v2,no_slot_but_log_y,no_slot_but_log_y_v2,reasons_equal,ref_equal,receipt_ref,replay_ref,signal_basis,vol_ratio,vol_threshold,rule_margin_pct,vintage_fragile
2026-09-22,rs_leader,live,064290,7,held,held,N,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),NA,NA,NA,,,,na,na,na,N,N,,,,50800,replay,,,,
2026-09-22,rs_leader,live,001820,8,slot_available,slot_available,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),Y,Y,Y,1,09:13:11,09:13:11,agree_Y,agree_Y,agree_Y,N,N,Y,Y,146000,146000,log,,,,
2026-09-22,rs_leader,live,020120,9,bought,bought,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),Y,Y,Y,1,09:13:11,09:13:11,agree_Y,agree_Y,agree_Y,N,N,Y,Y,8390,8390,log,,,,
2026-09-22,rs_leader,live,006340,10,slot_available,slot_available,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),N,N,N,,,,replay_only,replay_only,replay_only,N,N,,,,13540,log,,,,
2026-09-22,deep_mr_dev20,,475830,1,bought,bought,Y,Y,MA20 이탈 -50.2%,Y,Y,Y,1,09:07:28,09:07:28,agree_Y,agree_Y,agree_Y,N,N,Y,Y,27300,27300,log,,,,
2026-09-23,elder_ema_pullback,,009155,1,slot_available,slot_available,Y,N,rule_not_met,N,N,N,,,,agree_N,agree_N,agree_N,N,N,,,,,log,,,,
2026-09-23,elder_ema_pullback,,128940,2,slot_available,slot_available,Y,Y,triple_screen_ema_pullback low=498500<=ema13*1.02 close=5020,Y,Y,Y,61,09:06:52,15:29:23,agree_Y,agree_Y,agree_Y,N,N,Y,Y,502000,502000,log,,,,
2026-09-23,elder_ema_pullback,,357780,3,bought,bought,Y,Y,triple_screen_ema_pullback low=333500<=ema13*1.02 close=3370,Y,Y,Y,6,09:06:53,09:39:21,agree_Y,agree_Y,agree_Y,N,N,Y,Y,337000,337000,log,,,,
2026-09-23,elder_ema_pullback,,443060,4,held,held,N,Y,triple_screen_ema_pullback low=231000<=ema13*1.02 close=2430,NA,NA,NA,,,,na,na,na,N,N,,,,243000,replay,,,,
2026-09-23,elder_ema_pullback,,018260,5,slot_available,slot_available,Y,N,rule_not_met,N,N,N,,,,agree_N,agree_N,agree_N,N,N,,,,,log,,,,
